CourseID,Course,number,title,credit,prerequisite
,BIOL,111,,,
,BIOL,113,,,
,CHEM,111,,,
,CHEM,113,,,
,ENGL,101,,,
,CSDP,100,,,
,EXSC,111,,,
,SOCI,101,,,
